,Gender and Race,Percent,,,,,,,,,,,,,,,,,,,,
TOTAL,"115,521",100.0%,,,,,,,,,,,,,,,,,,,,
Male,"57,934",50.2%,,,,,,,,,,,,,,,,,,,,
Female,"57,587",49.8%,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
White Alone,"93,669",81.1%,,,,,,,,,,,,,,,,,,,,
Male,NA,NA,,,,,,,,,,,,,,,,,,,,
Female,NA,NA,,,,,,,,,,,,,,,,,,,,
Black or African American Alone,"4,799",4.2%,,,,,,,,,,,,,,,,,,,,
Male,NA,NA,,,,,,,,,,,,,,,,,,,,
Female,NA,NA,,,,,,,,,,,,,,,,,,,,
American Indian or Alaska Native Alone,"4,445",3.8%,,,,,,,,,,,,,,,,,,,,
Male,NA,NA,,,,,,,,,,,,,,,,,,,,
Female,NA,NA,,,,,,,,,,,,,,,,,,,,
Asian Alone,"4,898",4.2%,,,,,,,,,,,,,,,,,,,,
Male,NA,NA,,,,,,,,,,,,,,,,,,,,
Female,NA,NA,,,,,,,,,,,,,,,,,,,,
Native Hawaiian or Other Pacific Islander Alone,139,0.1%,,,,,,,,,,,,,,,,,,,,
Male,NA,NA,,,,,,,,,,,,,,,,,,,,
Female,NA,NA,,,,,,,,,,,,,,,,,,,,
Two or More Races,"7,570",6.6%,,,,,,,,,,,,,,,,,,,,
Male,NA,NA,,,,,,,,,,,,,,,,,,,,
Female,NA,NA,,,,,,,,,,,,,,,,,,,,
Hispanic or Latino,"7,453",6.5%,,,,,,,,,,,,,,,,,,,,
Male,NA,NA,,,,,,,,,,,,,,,,,,,,
Female,NA,NA,,,,,,,,,,,,,,,,,,,,
