IA Number,Occurred Date,Occurred Time,Day of Week,Service Rendered,Use of Force: Reason,Type(s) of Force,Officer ID,Officer Injured,Officer to Hospital,Years Employed,Age,Race,Sex,Disposition,Officer Assessment of Citizen,Citizen Arrested,Citizen Injured,Citizen to Hospital,Race,Sex
UF2016-048,12/26/2016,9:15:00 PM,Monday,Arrest,Passive Non Compliant,Compliance Hold,663,No,No,3,28,Black,Male,No Misconduct,Impairment - Alcohol,Yes,Yes,Yes,White,Female
UF2017-001,1/1/2017,2:15:00 AM,Sunday,Disturbance,Active Resister Unarmed,Taser,647,Yes,No,3,33,White,Male,No Misconduct,Impairment - Alcohol,Yes,Yes,Yes,White,Male
UF2017-002,1/2/2017,5:08:00 PM,Monday,Vehicle Pursuit,Active Fleeing,Tackle,573,No,No,7,35,White,Male,No Misconduct,Impairment - Drug,Yes,Yes,Yes,White,Male
UF2017-003,1/6/2017,1:40:00 AM,Friday,Suspicious Person,Active Resister Unarmed,Taser,607,No,No,5,41,White,Male,No Misconduct,Impairment - Unknown Type,Yes,Yes,Yes,White,Male
UF2017-003,1/6/2017,1:40:00 AM,Friday,Suspicious Person,Active Resister Unarmed,"Compliance Hold, Leg Sweep Takedown",599,No,No,6,34,White,Male,No Misconduct,Impairment - Unknown Type,Yes,Yes,Yes,White,Male
UF2017-003,1/6/2017,1:40:00 AM,Friday,Suspicious Person,Active Resister Unarmed,Compliance Hold,695,No,No,2,28,White,Male,No Misconduct,Impairment - Unknown Type,Yes,Yes,Yes,White,Male
UF2017-003,1/6/2017,1:40:00 AM,Friday,Suspicious Person,Active Resister Unarmed,"Complaince Hold, Leg Restraint",660,No,No,3,35,White,Male,No Misconduct,Impairment - Unknown Type,Yes,Yes,Yes,White,Male
UF2017-003,1/6/2017,1:40:00 AM,Friday,Suspicious Person,Active Resister Unarmed,Compliance Hold,540,No,No,8,31,White,Male,No Misconduct,Impairment - Unknown Type,Yes,Yes,Yes,White,Male
UF2017-004,1/7/2017,1:08:00 AM,Saturday,Alarm Response,Active Resister Unarmed,Compliance Hold,695,No,No,2,28,White,Male,No Misconduct,Mental Health,Yes,Yes,No,Black,Female
UF2017-005,1/8/2017,1:00:00 AM,Sunday,Arrest,Active Resister Unarmed,"Tackle, Compliance Hold",576,No,No,7,34,White,Male,No Misconduct,Highly Agitated/Upset,Yes,No,No,Black,Male
UF2017-005,1/8/2017,1:00:00 AM,Sunday,Arrest,Active Resister Unarmed,"Strike w/ Hand or Foot, Compliance Hold",542,No,No,7,42,White,Male,No Misconduct,Highly Agitated/Upset,Yes,No,No,Black,Male
UF2017-006,1/15/2017,2:27:00 AM,Sunday,Fight Call,Active Resister Unarmed,"Arm Bar Takedown, Strike w/ Hand or Foot, Compliance Hold",724,Yes,No,1,29,White,Male,No Misconduct,Impairment - Alcohol,Yes,Yes,Yes,Hispanic,Male
UF2017-007,1/17/2017,11:28:00 AM,Tuesday,Suicide Attempt,Active Resister Unarmed,Taser,568,No,No,7,31,White,Male,No Misconduct,Impairment - Drug,Yes,No,Yes,White,Male
UF2017-008,1/30/2017,11:36:00 PM,Monday,Arrest,Active Resister Unarmed,Strike w/ Hand or Foot,565,No,No,7,31,White,Male,No Misconduct,Impairment - Alcohol,Yes,Yes,No,White,Male
UF2017-009,2/4/2017,11:54:00 PM,Saturday,Disturbance,Passive Non Compliant,Compliance Hold,648,No,No,3,31,White,Male,No Misconduct,Impairment - Alcohol,Yes,Yes,No,Hispanic,Male
UF2017-010,2/5/2017,6:50:00 PM,Sunday,Disturbance,Active Resister Unarmed,Complaince Hold ,596,Yes,No,6,32,White,Female,No Misconduct,Impairment - Alcohol,Yes,Yes,Yes,White,Female
UF2017-010,2/5/2017,6:50:00 PM,Sunday,Disturbance,Active Resister Unarmed,Compliance Hold,725,Yes,No,1,28,White,Male,No Misconduct,Impairment - Alcohol,Yes,Yes,Yes,White,Female
UF2017-011,2/12/2017,10:50:00 PM,Sunday,Arrest,No Force (Complaint of Inj),N/A (Complaint Only),736,No,No,2,28,White,Male,No Misconduct,None Detected,Yes,No,Yes,White,Male
UF2017-016,2/27/2017,7:25:00 PM,Monday,Protective Custody,Active Resister Unarmed,Arm Bar Takedown ,658,No,No,3,28,White,Male,No Misconduct,Mental Health,No,No,No,White,Female
UF2017-013,2/28/2017,10:25:00 AM,Tuesday,Disturbance,Active Fleeing,"Taser, Tackle",606,Yes,No,5,31,White,Male,No Misconduct,None Detected,Yes,Yes,Yes,White,Male
UF2017-017,3/5/2017,5:50:00 PM,Sunday,911 call,Active Fleeing,Taser,659,No,No,3,29,White,Male,No Misconduct,None Detected,Yes,Yes,Yes,White,Male
UF2017-015,3/6/2017,8:00:00 PM,Monday,Foot Pursuit,Active Fleeing,Taser,537,No,No,8,37,White,Male,No Misconduct,Unknown,Yes,No,Yes,White,Male
UF2017-012,5/10/2017,2:42:00 AM,Wednesday,Arrest,Active Resister Unarmed,Arm Bar Takedown,616,No,No,5,35,White,Male,No Misconduct,Highly Agitated/Upset,Yes,No,Yes,White,Male
UF2017-012,5/10/2017,2:42:00 AM,Wednesday,Arrest,Active Resister Unarmed,Arm bar Takedown,779,No,No,0,26,White,Male,No Misconduct,Highly Agitated/Upset,Yes,No,Yes,White,Male
UF2017-019,4/1/2017,4:00:00 AM,Saturday,Disturbance,Active Resister Unarmed,OC Spray,616,No,No,5,35,White,Male,No Misconduct,Highly Agitated/Upset,Yes,No,No,Black,Male
UF2017-020,3/27/2017,6:04:00 PM,Monday,Disturbance,Active Resister Armed,Taser,696,No,No,2,46,White,Male,No Misconduct,Highly Agitated/Upset,Yes,No,Yes,White,Male
UF2017-020,3/27/2017,6:04:00 PM,Monday,Disturbance,Active Resister Armed,Taser,43,No,No,20,50,White,Male,No Misconduct,Highly Agitated/Upset,Yes,No,Yes,White,Male
UF2017-020,3/27/2017,6:04:00 PM,Monday,Disturbance,Active Resister Armed,Taser x2,65,No,No,18,42,White,Male,No Misconduct,Highly Agitated/Upset,Yes,No,Yes,White,Male
UF2017-021,3/23/2017,7:30:00 PM,Thursday,Welfare Check,Active Resister Unarmed,Arm Bar Takedown,668,No,No,3,27,White,Male,No Misconduct,Impairment - Alcohol,Yes,Yes,Yes,Black,Male
UF2017-021,3/23/2017,7:30:00 PM,Thursday,Welfare Check,Active Resister Unarmed,Tackle,694,No,No,2,36,White,Male,No Misconduct,Impairment - Alcohol,Yes,Yes,Yes,Black,Male
UF2017-022,2/20/2017,10:45:00 AM,Monday,Foot Pursuit,Active Resister Armed,Firearms Discharge,594,No,No,6,34,White,Male,No Misconduct,None Detected,Yes,Yes,Yes,White,Male
UF2017-023,5/4/2017,1:15:00 PM,Thursday,Suicide Attempt,Active Fleeing,Arm Bar Takedown,551,No,No,8,43,White,Male,No Misconduct,Mental Health,Yes,No,Yes,White,Female
UF2017-023,5/4/2017,1:15:00 PM,Thursday,Suicide Attempt,Active Fleeing,Arm Bar Takedown,725,No,No,1,28,White,Male,No Misconduct,Mental Health,Yes,No,Yes,White,Female
