,Authorized Total Stength,Authorized Sworn Strength,Authorized Non-Sworn Strength,Actual Total Strength,Actual Sworn Strength,Actual Non-Sworn Strength,Actual Sworn Line-Level Strength,Actual Sworn First-Line Supervisor Strength,Actual Sworn Mid-Level Supervisor Strength,Actual Sworn Executive-Level Strength,Actual Non-Sworn Line-Level Strength,Actual Non-Sworn Supervisory Strength
TOTAL,251,180,71,243,176,67,158,21,7,4,60,7
,,,,,,,,,,,,
White Alone,,,,218,154,64,139,20,7,2,57,7
Male,,,,158,140,18,112,19,7,2,14,4
Female,,,,60,14,46,13,1,0,0,43,3
Black or African American Alone,,,,13,10,3,7,1,0,2,3,0
Male,,,,12,10,2,7,1,0,2,2,0
Female,,,,1,0,1,0,0,0,0,1,0
American Indian or Alaska Native Alone,,,,3,3,0,3,0,0,0,0,0
Male,,,,3,3,0,3,0,0,0,0,0
Female,,,,0,0,0,0,0,0,0,0,0
Asian / Pacific Islander,,,,6,6,0,6,0,0,0,0,0
Male,,,,6,6,0,6,0,0,0,0,0
Female,,,,0,0,0,0,0,0,0,0,0
Hispanic or Latino,,,,3,3,0,3,0,0,0,0,0
Male,,,,3,3,0,3,0,0,0,0,0
Female,,,,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
