CaseID,ReportedDate,OfficerRace,OfficerGender,OfficerAge,UCR_CODE,Statute,Description,BaisMotivation,SubjectRole,SubjectRace,SubjectGender,SubjectAge
-321260,1/1/2018,White,Male,33,90D  ,47-11.902,DUI - LIQUOR OR DRUGS/APCV,No Bias,Suspect,White,Male,51
-321260,1/1/2018,White,Male,33,90D  ,47-11.902,DUI - LIQUOR OR DRUGS/APCV,No Bias,Other,White,Female,55
-321263,1/1/2018,Black,Male,29,90E  ,M15-302,PUBLIC INTOX,No Bias,Suspect,White,Male,23
-321263,1/1/2018,Black,Male,29,90E  ,M15-302,PUBLIC INTOX,No Bias,Suspect,White,Female,20
-321261,1/1/2018,White,Male,33,90D  ,47-11.902,DUI - LIQUOR OR DRUGS/APCV,No Bias,Suspect,White,Male,49
-321259,1/1/2018,White,Male,30,90D  ,47-11.902.D,AGGRAVATED DUI /APC (=>.15 BAC),No Bias,Suspect,White,Female,33
-321462,1/1/2018,White,Male,38,87F  ,47-6.303,DRIVING WITH LIC. CANCELED/SUSPENDED/REVOKED - DUS,No Bias,Witness,White,Male,61
-321462,1/1/2018,White,Male,38,90Z  ,21-540,OBSTRUCTING OFFICER,No Bias,Witness,White,Male,61
-321462,1/1/2018,White,Male,38,87F  ,47-11.309,UNSAFE LANE USE,No Bias,Witness,White,Male,61
-321462,1/1/2018,White,Male,38,87F  ,47-6.303,DRIVING WITH LIC. CANCELED/SUSPENDED/REVOKED - DUS,No Bias,Witness,White,Female,65
-321462,1/1/2018,White,Male,38,90Z  ,21-540,OBSTRUCTING OFFICER,No Bias,Witness,White,Female,65
-321462,1/1/2018,White,Male,38,87F  ,47-11.309,UNSAFE LANE USE,No Bias,Witness,White,Female,65
-321462,1/1/2018,White,Male,38,87F  ,47-6.303,DRIVING WITH LIC. CANCELED/SUSPENDED/REVOKED - DUS,No Bias,Suspect,Black,Male,38
-321462,1/1/2018,White,Male,38,90Z  ,21-540,OBSTRUCTING OFFICER,No Bias,Suspect,Black,Male,38
-321462,1/1/2018,White,Male,38,87F  ,47-11.309,UNSAFE LANE USE,No Bias,Suspect,Black,Male,38
-321462,1/1/2018,White,Male,38,87F  ,47-6.303,DRIVING WITH LIC. CANCELED/SUSPENDED/REVOKED - DUS,No Bias,Other,White,Female,36
-321462,1/1/2018,White,Male,38,90Z  ,21-540,OBSTRUCTING OFFICER,No Bias,Other,White,Female,36
-321462,1/1/2018,White,Male,38,87F  ,47-11.309,UNSAFE LANE USE,No Bias,Other,White,Female,36
-321272,1/1/2018,White,Male,33,86S  ,OFINFO,OFFICERS INFORMATION,No Bias,Victim,White,Female,88
-321272,1/1/2018,White,Male,33,86S  ,OFINFO,OFFICERS INFORMATION,No Bias,Reporting Person,White,Female,40
-321272,1/1/2018,White,Male,33,86S  ,OFINFO,OFFICERS INFORMATION,No Bias,Other,White,Male,65
-321289,1/1/2018,White,Female,30,23H  ,21-1701,LARCENY (ALL OTHER LARCENY),No Bias,Victim,White,Male,24
-321441,1/1/2018,White,Female,29,23F  ,21-1435,BURGLARY FROM AUTO - SECOND DEGREE (THEFT FROM MOTOR VEHICLE),No Bias,Victim,White,Male,25
-322010,1/1/2018,White,Male,,13B  ,21-644.H,DOMESTIC ABUSE IN PRESENCE OF MINOR CHILD (SIMPLE ASSAULT),No Bias,Victim,White,Male,28
-322010,1/1/2018,White,Male,,13B  ,21-644.H,DOMESTIC ABUSE IN PRESENCE OF MINOR CHILD (SIMPLE ASSAULT),No Bias,Victim,White,Female,30
-322010,1/1/2018,White,Male,,13B  ,21-644.H,DOMESTIC ABUSE IN PRESENCE OF MINOR CHILD (SIMPLE ASSAULT),No Bias,Victim,White,Female,4
-322010,1/1/2018,White,Male,,13B  ,21-644.H,DOMESTIC ABUSE IN PRESENCE OF MINOR CHILD (SIMPLE ASSAULT),No Bias,Victim,White,Female,4
-322010,1/1/2018,White,Male,,13B  ,21-644.H,DOMESTIC ABUSE IN PRESENCE OF MINOR CHILD (SIMPLE ASSAULT),No Bias,Suspect,White,Male,28
-322010,1/1/2018,White,Male,,13B  ,21-644.H,DOMESTIC ABUSE IN PRESENCE OF MINOR CHILD (SIMPLE ASSAULT),No Bias,Suspect,White,Female,30
-321281,1/1/2018,White,Male,31,13A  ,21-644.J,DOMESTIC ABUSE BY STRANGULATION (AGGRAVATED ASSAULT),No Bias,Victim,Black,Female,52
-321281,1/1/2018,White,Male,31,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,No Bias,Victim,Black,Female,52
-321281,1/1/2018,White,Male,31,13A  ,21-644.J,DOMESTIC ABUSE BY STRANGULATION (AGGRAVATED ASSAULT),No Bias,Suspect,Black,Female,19
-321281,1/1/2018,White,Male,31,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,No Bias,Suspect,Black,Female,19
-321368,1/1/2018,White,Female,50,86S  ,LOSTPROP,LOST PROPERTY,No Bias,Reporting Person,White,Male,35
-321275,1/1/2018,White,Male,28,23C  ,21-1731,LARCENY OF MERCHANDISE FROM RETAILER,No Bias,Witness,White,Male,34
-321275,1/1/2018,White,Male,28,23C  ,21-1731,LARCENY OF MERCHANDISE FROM RETAILER,No Bias,Witness,White,Male,26
-321275,1/1/2018,White,Male,28,23C  ,21-1731,LARCENY OF MERCHANDISE FROM RETAILER,No Bias,Suspect,White,Male,27
-321275,1/1/2018,White,Male,28,23C  ,21-1731,LARCENY OF MERCHANDISE FROM RETAILER,No Bias,Other,Unknown,Female,21
-321285,1/1/2018,White,Male,32,88A  ,CWARR,WARRANT-COUNTY,No Bias,Suspect,White,Male,28
-321283,1/2/2018,White,Male,36,35B  ,M15-413,POSSESSION OF DRUG PARAPHERNALIA,No Bias,Suspect,White,Male,34
-321283,1/2/2018,White,Male,36,35A  ,63-2.402.B.1,POSSESSION OF CDS,No Bias,Suspect,White,Male,34
-321283,1/2/2018,White,Male,36,35B  ,M15-413,POSSESSION OF DRUG PARAPHERNALIA,No Bias,Suspect,White,Female,23
-321283,1/2/2018,White,Male,36,35A  ,63-2.402.B.1,POSSESSION OF CDS,No Bias,Suspect,White,Female,23
-321283,1/2/2018,White,Male,36,35B  ,M15-413,POSSESSION OF DRUG PARAPHERNALIA,No Bias,Other,White,Female,23
-321283,1/2/2018,White,Male,36,35A  ,63-2.402.B.1,POSSESSION OF CDS,No Bias,Other,White,Female,23
-321291,1/2/2018,White,Male,33,88A  ,CWARR,WARRANT-COUNTY,No Bias,Suspect,Black,Male,39
-321291,1/2/2018,White,Male,33,88A  ,CWARR,WARRANT-COUNTY,No Bias,Other,Black,Female,35
-321297,1/2/2018,White,Male,37,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,No Bias,Suspect,White,Female,13
