IA No,Occurred date,Occurred time,Occurred day of week,Service rendered,Use-of-force: Reason,Type of Force,ID number,Officer was injured,Officer went to hospital,# years employed,Officer age ,Race,Sex,Disposition,Officer assement of cit condition,Citizen was arrested,Citizen was injured,Citizen went to hospital,Race,Sex
UF2017-056,12/21/2017,1/1/1900 11:56,Thursday,Foot Pursuit,Active Resister Unarmed,Taser,7,No,No,18,43,White,Male,No Misconduct,Unknown,Yes,Yes,Yes,White,Male
UF2017-057,12/24/2017,1/1/1900 17:56,Sunday,Warrant Service,Active Resister Unarmed,Verbal Commands/ Tackle/ Compliance Hold,730,No,No,2,26,Asian,Male,No Misconduct,Impairment - Alcohol,Yes,Yes,Yes,White,Male
UF2017-057,12/24/2017,1/1/1900 17:56,Sunday,Warrant Service,Active Resister Unarmed,Leg Sweep Takedown/ Compliance Hold/ Verbal Commands,664,No,No,4,27,White,Male,No Misconduct,Impairment - Alcohol,Yes,Yes,Yes,White,Male
UF2018-001,1/15/2018,1/1/1900 19:30,Monday,Disturbance,Active Resister Unarmed,Strike w/ hand- foot,664,No,No,4,28,White,Male,No Misconduct,Impairment - Alcohol,Yes,No,No,White,Male
UF2018-002,1/21/2018,1/1/1900 8:20,Sunday,Transporting Prisoner,Active Fleeing,Tackle,774,Yes,Yes,1,26,White,Male,No Misconduct,Impairment - Drug,Yes,Yes,Yes,White,Male
UF2018-003,1/19/2018,1/1/1900 1:31,Friday,Vehicle Pursuit,Active Resister Unarmed,Baton Strike/ Verbal Commands/ Strike w hand-foot/ Firearm Pointing,616,Yes,Yes,6,35,White,Male,No Misconduct,Impairment - Drug,Yes,Yes,Yes,White,Male
UF2018-004,2/13/2018,1/1/1900 2:20,Tuesday,Suspicious Person,Active Fleeing,Verbal Commands/ Taser Use,330,No,No,17,49,White,Male,No Misconduct,Impairment - Alcohol,Yes,Yes,Yes,Black,Male
UF2018-005,2/13/2018,1/1/1900 2:20,Tuesday,Traffic Stop,Active Fleeing,Taser Use,599,No,No,7,35,White,Male,No Misconduct,Impairment - Alcohol and Drugs,Yes,No,Yes,White,Male
UF2018-006,2/15/2018,1/1/1900 6:15,Thursday,Arrest,Active Fleeing,Tackle,565,Yes,Yes,8,32,White,Male,No Misconduct,Impairment - Alcohol,Yes,Yes,Yes,White,Male
UF2018-007,2/17/2018,1/1/1900 3:50,Saturday,Traffic Stop,Active Fleeing,Taser Use,695,No,No,3,29,White,Male,No Misconduct,None Detected,Yes,Yes,Yes,Black,Male
UF2018-008,2/19/2018,1/1/1900 2:00,Monday,Arrest,Active Resister Unarmed,Vascular Restraint/ Arm Bar Takedown/ Strike w hand-foot,664,Yes,No,4,28,White,Male,No Misconduct,Highly Agitated/Upset,Yes,Yes,Yes,White,Male
UF2018-008,2/19/2018,1/1/1900 2:00,Monday,Arrest,Active Resister Unarmed,Arm bar takedown,736,Yes,No,2,29,White,Male,No Misconduct,Highly Agitated/Upset,Yes,Yes,Yes,White,Male
UF2018-009,3/5/2018,1/1/1900 12:44,Monday,Arrest,Active Resister Unarmed,Leg Restraint,806,No,No,0,32,White,Male,No Misconduct,Impairment - Alcohol,Yes,Yes,Yes,White,Male
UF2018-009,3/5/2018,1/1/1900 12:44,Monday,Arrest,Active Resister Unarmed,Arm Bar Takedown,771,No,No,1,27,White,Male,No Misconduct,Impairment - Alcohol,Yes,Yes,Yes,White,Male
