ArrestID,ArrestDatetime,ArrestType,OfficerRace,OfficerGender,OfficerAge,UCR_CODE,Statute,Description,SubjectRace,SubjectGender,SubjectAge
-112707,1/1/2019,Warrant/Taken into Custody,White,Male,29,88B  ,MWARR,WARRANT-MUNICIPAL,Black,Male,49
-112711,1/1/2019,On-View,White,Male,34,90E  ,M15-302,PUBLIC INTOX / CONSUMING INTOX BEV - SPIRTS,White,Female,22
-112713,1/1/2019,On-View,White,Male,32,35B  ,M15-413,POSSESSION OF DRUG PARAPHERNALIA,White,Female,20
-112719,1/1/2019,On-View,White,Male,27,35A  ,63-2.402.B.2,POSSESSION OF MARIJUANA,White,Male,19
-112719,1/1/2019,On-View,White,Male,27,90D  ,47-11.902,DUI - LIQUOR OR DRUGS/APCV,White,Male,19
-112708,1/1/2019,On-View,White,Male,34,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,Black,Female,17
-112710,1/1/2019,On-View,White,Male,38,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,White,Female,63
-112709,1/1/2019,On-View,White,Male,32,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,White,Female,19
-112714,1/1/2019,On-View,Asian,Male,28,90Z  ,M15-406,UNDER INFLUENCE/NARC,White,Female,25
-112750,1/1/2019,On-View,White,Male,48,120,21-801,ROBBERY OR ATTEMPTED W/ DANGEROUS WEAPON,White,Male,36
-112750,1/1/2019,On-View,White,Male,48,520,21-1283.A,POSSESS FIREARM AFTER CONVICTION OF FELONY (AFC),White,Male,36
-112715,1/1/2019,On-View,White,Female,40,13A  ,21-644.J,DOMESTIC ABUSE BY STRANGULATION (AGGRAVATED ASSAULT),White,Male,29
-112729,1/1/2019,On-View,White,Female,40,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,White,Female,54
-112720,1/1/2019,On-View,White,Male,29,35B  ,63-2.405,UNLAWFUL POSSESSION OF PARAPHERNALIA,White,Male,41
-112720,1/1/2019,On-View,White,Male,29,35A  ,63-2.402.B.2,POSSESSION OF MARIJUANA,White,Male,41
-112720,1/1/2019,On-View,White,Male,29,87F  ,47-1151,OPERATING VEHICLE WITHOUT PROPER TAG/DECAL,White,Male,41
-112720,1/1/2019,On-View,White,Male,29,90D  ,47-11.902.D,AGGRAVATED DUI /APC (=>.15 BAC),White,Male,41
-112728,1/2/2019,Warrant/Taken into Custody,White,Male,25,88A  ,CWARR,WARRANT-COUNTY,White,Male,23
-112728,1/2/2019,Warrant/Taken into Custody,White,Male,25,35B  ,63-2.405,UNLAWFUL POSSESSION OF PARAPHERNALIA,White,Male,23
-112777,1/2/2019,On-View,Black,Male,29,90Z  ,21-454,DESTROYING EVIDENCE,White,Female,22
-112777,1/2/2019,On-View,Black,Male,29,35B  ,63-2.405,UNLAWFUL POSSESSION OF PARAPHERNALIA,White,Female,22
-112777,1/2/2019,On-View,Black,Male,29,35A  ,63-2.402.B.1,POSSESSION OF CDS,White,Female,22
-112777,1/2/2019,On-View,Black,Male,29,90Z  ,57-21,CARRYING WEAPON/DRUGS/ALCOHOL INTO JAIL,White,Female,22
-112777,1/2/2019,On-View,Black,Male,29,90Z  ,21-540,OBSTRUCTING OFFICER,White,Female,22
-112777,1/2/2019,On-View,Black,Male,29,26C  ,21-1531,FALSE PERSONATION,White,Female,22
-112727,1/2/2019,Warrant/Taken into Custody,White,Male,34,88A  ,CWARR,WARRANT-COUNTY,Black,Male,19
-112727,1/2/2019,Warrant/Taken into Custody,White,Male,34,520,21-1283.A,POSSESS FIREARM AFTER CONVICTION OF FELONY (AFC),Black,Male,19
-112723,1/2/2019,On-View,White,Male,27,35A  ,M15-408,POSS/MARIJ,Unknown,Male,18
-112742,1/2/2019,Warrant/Taken into Custody,White,Male,53,88A  ,CWARR,WARRANT-COUNTY,American Indian or Alaskan Native,Male,45
-112755,1/2/2019,Summoned/Warrant Request,White,Male,39,26E  ,21-1545,USING FALSE CHECK (WIRE FRAUD),Unknown,Male,30
-112755,1/2/2019,Summoned/Warrant Request,White,Male,39,26A  ,21-1541.2,OBTAIN PROPERTY BY FALSE PRETENSE >$500 (FALSE PRETENSES/SWINDLE/CONFIDENCE GAME),Unknown,Male,30
-112747,1/2/2019,Summoned/Warrant Request,White,Female,52,13A  ,21-1289.17.A,DISCHARGING FIREARM INTO DWELLING F (AGGRAVATED ASSAULT),Black,Male,17
-112748,1/2/2019,Summoned/Warrant Request,White,Female,52,13A  ,21-1289.17.A,DISCHARGING FIREARM INTO DWELLING F (AGGRAVATED ASSAULT),Black,Male,23
-112749,1/2/2019,Warrant/Taken into Custody,White,Female,52,13A  ,21-1289.17.A,DISCHARGING FIREARM INTO DWELLING F (AGGRAVATED ASSAULT),Black,Male,23
-112778,1/2/2019,Warrant/Taken into Custody,White,Male,38,88A  ,CWARR,WARRANT-COUNTY,Black,Female,33
-112744,1/2/2019,On-View,White,Female,35,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,White,Male,39
-112741,1/2/2019,On-View,White,Male,29,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,White,Female,50
-112738,1/2/2019,On-View,White,Male,33,35A  ,63-2.402.B.1,POSSESSION OF CDS,White,Female,28
-112738,1/2/2019,On-View,White,Male,33,90E  ,37-8,PUBLIC INTOXICATION,White,Female,28
-112736,1/2/2019,On-View,White,Male,30,13A  ,21-645,ASSAULT &/OR BATTERY W/DANGEROUS WEAPON,Black,Male,23
-112736,1/2/2019,On-View,White,Male,30,23F  ,21-1435,BURGLARY FROM AUTO - SECOND DEGREE (THEFT FROM MOTOR VEHICLE),Black,Male,23
-112745,1/2/2019,On-View,White,Male,27,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,White,Female,38
-112740,1/2/2019,On-View,White,Male,36,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,White,Male,55
-112751,1/3/2019,On-View,Black,Male,29,35B  ,M15-413,POSSESSION OF DRUG PARAPHERNALIA,White,Female,25
-112743,1/3/2019,On-View,White,Male,27,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,White,Male,18
-112739,1/3/2019,On-View,White,Male,31,90Z  ,21-267,INTERFERRING WITH AN OFFICER (ALL OTHER OFFENSES),White,Male,31
-112739,1/3/2019,On-View,White,Male,31,88A  ,CWARR,WARRANT-COUNTY,White,Male,31
-112739,1/3/2019,On-View,White,Male,31,90E  ,37-8,PUBLIC INTOXICATION,White,Male,31
-112746,1/3/2019,Warrant/Taken into Custody,White,Male,53,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,White,Female,60
-112757,1/3/2019,On-View,White,Male,46,23C  ,21-1705,GRAND LARCENY (SHOPLIFTING),Black,Male,23
-112754,1/3/2019,On-View,White,Male,26,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,White,Male,18
-112780,1/3/2019,Summoned/Warrant Request,White,Female,52,11D  ,21-1123,LEWD OR INDECENT PROPOSALS/ACTS TO CHILD (FORCIBLE FONDLING),Unknown,Male,15
-112779,1/3/2019,Warrant/Taken into Custody,Black,Male,34,90I  ,RUNAWA,RUNAWAY,White,Female,16
-112779,1/3/2019,Warrant/Taken into Custody,Black,Male,34,88A  ,CWARR,WARRANT-COUNTY,White,Female,16
-112756,1/3/2019,On-View,White,Male,39,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,White,Male,51
