TicketID,TicketDatetime,TicketType,OfficerRace,OfficerGender,OfficerAge,UCR_CODE,Statute,Description,SubjectRace,SubjectGender,SubjectAge
-723163,01-Jan-20,Warning,White,Male,27,87F  ,M20-1103,DIS TRAF CONT DEV,White,Male,50
-723161,01-Jan-20,Warning,White,Male,51,87F  ,M20-1001,EXC SPEEDING,White,Male,40
-722485,01-Jan-20,Warning,White,Male,38,87F  ,M20-602,IMP EQUIP/CARS,White,Male,29
-722486,01-Jan-20,Warning,White,Male,38,87F  ,M20-509,DR W/O LICENSE,White,Male,29
-722518,01-Jan-20,Traffic,White,Male,36,87F  ,M20-1001,EXC SPEEDING,White,Male,24
-722488,01-Jan-20,Traffic,White,Male,38,87F  ,M20-543,NO INSURANCE VERIF,White,Male,22
-722487,01-Jan-20,Warning,White,Male,38,87F  ,M20-510,IMP REGISTRATION,White,Male,22
-722519,01-Jan-20,Warning,White,Male,36,87F  ,M20-1001,EXC SPEEDING,White,Female,32
-722489,01-Jan-20,Warning,White,Male,38,87F  ,M20-502A1,INATTENTIVE DRIVING,White,Male,31
-722490,01-Jan-20,Warning,White,Male,38,87F  ,M20-1002,SPEEDING,White,Male,31
-722662,01-Jan-20,Traffic,White,Male,36,87F  ,M20-608,SEATBELT VIOL,White,Male,68
-722664,01-Jan-20,Warning,White,Male,36,87F  ,M20-510,IMP REGISTRATION,White,Male,68
-722663,01-Jan-20,Traffic,White,Male,36,87F  ,M20-1001,EXC SPEEDING,White,Male,68
-722666,01-Jan-20,Warning,White,Male,36,87F  ,M20-543,NO INSURANCE VERIF,White,Male,28
-722491,01-Jan-20,Warning,White,Male,38,87F  ,M20-540,FAIL TO SIGNAL,White,Male,30
-722665,01-Jan-20,Traffic,White,Male,36,87F  ,M20-1001,EXC SPEEDING,White,Male,28
-722668,01-Jan-20,Traffic,White,Male,36,87F  ,M20-510,IMP REGISTRATION,White,Male,22
-722667,01-Jan-20,Traffic,White,Male,36,87F  ,M20-1002,SPEEDING,White,Male,22
-722669,01-Jan-20,Traffic,White,Male,36,87F  ,M20-1001,EXC SPEEDING,White,Male,22
-722670,01-Jan-20,Traffic,White,Male,36,87F  ,M20-1001,EXC SPEEDING,White,Male,47
-722672,01-Jan-20,Traffic,White,Male,36,87F  ,M20-608,SEATBELT VIOL,White,Male,21
-722673,01-Jan-20,Warning,White,Male,36,87F  ,M20-510,IMP REGISTRATION,White,Male,21
-722671,01-Jan-20,Traffic,White,Male,36,87F  ,M20-1002,SPEEDING,White,Male,21
-722675,01-Jan-20,Warning,White,Male,36,87F  ,M20-510,IMP REGISTRATION,White,Female,28
-722674,01-Jan-20,Warning,White,Male,36,87F  ,M20-1001,EXC SPEEDING,White,Female,28
-722677,01-Jan-20,Warning,White,Male,36,87F  ,M20-543,NO INSURANCE VERIF,White,Female,58
-722676,01-Jan-20,Traffic,White,Male,36,87F  ,M20-1001,EXC SPEEDING,White,Female,58
-722678,01-Jan-20,Warning,White,Male,36,87F  ,M20-1001,EXC SPEEDING,White,Female,42
-722520,01-Jan-20,Warning,White,Male,37,87F  ,M20-510,IMP REGISTRATION,White,Male,29
-723160,01-Jan-20,Warning,White,Male,37,87F  ,M20-1002,SPEEDING,White,Male,60
-722521,01-Jan-20,Warning,White,Male,37,87F  ,M20-608,SEATBELT VIOL,White,Male,41
-722476,01-Jan-20,Warning,White,Male,51,87F  ,M20-1002,SPEEDING,White,Male,52
-722712,01-Jan-20,Parking,White,Male,36,87F  ,20-807(8),HANDICAPPED PARKING,Unknown,Unknown,40
-722474,01-Jan-20,Traffic,White,Male,33,87F  ,M20-528,FTY - EMERGENCY VEH,White,Female,58
-722560,01-Jan-20,Traffic,White,Male,40,87F  ,M20-510,IMP REGISTRATION,White,Female,43
-722680,01-Jan-20,Traffic,White,Male,36,87F  ,M20-608,SEATBELT VIOL,White,Female,42
-722679,01-Jan-20,Warning,White,Male,36,87F  ,M20-541,IMP U-TURN,White,Female,42
-722681,01-Jan-20,Warning,White,Male,36,87F  ,M20-510,IMP REGISTRATION,White,Female,42
-722477,01-Jan-20,Warning,White,Male,51,87F  ,M20-1002,SPEEDING,White,Female,27
-723434,01-Jan-20,Warning,White,Male,49,87F  ,M20-510,IMP REGISTRATION,White,Female,18
-722478,01-Jan-20,Warning,White,Male,37,87F  ,M20-502A,FAIL DEV TIME/ATTEN,White,Male,22
-722539,01-Jan-20,Warning,White,Male,35,87F  ,M20-543,NO INSURANCE VERIF,White,Female,22
-722538,01-Jan-20,Warning,White,Male,35,87F  ,M20-510,IMP REGISTRATION,White,Female,22
-722682,01-Jan-20,Traffic,White,Male,36,87F  ,M20-510,IMP REGISTRATION,White,Male,23
-723149,01-Jan-20,Warning,,,,87F  ,M20-510,IMP REGISTRATION,White,Male,31
-723148,01-Jan-20,Warning,,,,87F  ,M20-1103,DIS TRAF CONT DEV,White,Male,31
-723165,01-Jan-20,Warning,,,,87F  ,M20-540,FAIL TO SIGNAL,White,Female,55
-722479,01-Jan-20,Warning,White,Male,37,87F  ,M20-1001,EXC SPEEDING,White,Male,52
-723166,01-Jan-20,Warning,,,,87F  ,M20-1103,DIS TRAF CONT DEV,White,Male,23
-722480,01-Jan-20,Warning,White,Male,37,87F  ,M20-1001,EXC SPEEDING,White,Male,22
-722481,01-Jan-20,Warning,White,Male,37,87F  ,M20-1001,EXC SPEEDING,White,Female,47
-722558,01-Jan-20,Traffic,White,Male,54,87F  ,M20-1001,EXC SPEEDING,White,Male,31
-722483,01-Jan-20,Warning,White,Male,37,87F  ,M20-510,IMP REGISTRATION,White,Female,37
-722482,01-Jan-20,Warning,White,Male,37,87F  ,M20-1001,EXC SPEEDING,White,Female,37
-722557,01-Jan-20,Traffic,White,Male,54,87F  ,M20-1001,EXC SPEEDING,White,Female,70
-722683,01-Jan-20,Warning,White,Male,36,87F  ,M20-510,IMP REGISTRATION,White,Female,25
-722684,01-Jan-20,Traffic,White,Male,36,87F  ,M20-1001,EXC SPEEDING,Unknown,Female,29
-722685,01-Jan-20,Traffic,White,Male,36,87F  ,M20-1001,EXC SPEEDING,White,Male,26
-722686,01-Jan-20,Traffic,White,Male,36,87F  ,M20-1001,EXC SPEEDING,White,Male,34
-722761,01-Jan-20,Traffic,White,Male,36,87F  ,M20-1001,EXC SPEEDING,White,Male,73
-722762,01-Jan-20,Traffic,White,Male,36,87F  ,M20-1001,EXC SPEEDING,White,Male,54
-722467,01-Jan-20,Traffic,White,Male,58,87F  ,M20-608,SEATBELT VIOL,White,Female,25
-722466,01-Jan-20,Traffic,White,Male,58,87F  ,M20-543,NO INSURANCE VERIF,White,Female,25
-722465,01-Jan-20,Traffic,White,Male,58,87F  ,M20-509C2,DUS,White,Female,25
-722763,01-Jan-20,Traffic,White,Male,36,87F  ,M20-1002,SPEEDING,White,Male,24
-722764,01-Jan-20,Traffic,White,Male,36,87F  ,M20-1002,SPEEDING,Black,Male,36
-722765,01-Jan-20,Warning,White,Male,36,87F  ,M20-1001,EXC SPEEDING,White,Male,40
-722766,01-Jan-20,Traffic,White,Male,36,87F  ,M20-608,SEATBELT VIOL,Black,Male,20
-722767,01-Jan-20,Warning,White,Male,36,87F  ,M20-543,NO INSURANCE VERIF,Black,Male,20
-722556,01-Jan-20,Traffic,White,Male,54,87F  ,M20-1109,DIS TRAF SIG/RED,Asian,Male,36
-722768,01-Jan-20,Warning,White,Male,36,87F  ,M20-510,IMP REGISTRATION,White,Male,34
-722540,01-Jan-20,Traffic,White,Male,35,87F  ,M20-1002,SPEEDING,White,Female,43
-722475,01-Jan-20,Warning,White,Male,58,87F  ,M20-608,SEATBELT VIOL,Black,Male,49
-722541,01-Jan-20,Warning,White,Male,35,87F  ,M20-509,DR W/O LICENSE,White,Female,26
-722542,01-Jan-20,Traffic,White,Male,35,87F  ,M20-1002,SPEEDING,White,Female,26
-722473,01-Jan-20,Traffic,White,Male,58,87F  ,M20-608,SEATBELT VIOL,White,Male,22
-722543,01-Jan-20,Warning,White,Male,35,87F  ,M20-602,IMP EQUIP/CARS,White,Male,20
-723153,01-Jan-20,Warning,White,Male,32,87F  ,M20-543,NO INSURANCE VERIF,Unknown,Female,39
-723152,01-Jan-20,Warning,White,Male,32,87F  ,M20-540,FAIL TO SIGNAL,Unknown,Female,39
-723156,01-Jan-20,Warning,Black,Male,30,87F  ,M20-540,FAIL TO SIGNAL,Black,Male,22
-723157,01-Jan-20,Warning,Black,Male,30,87F  ,M20-538,IMP LANE CHANGE,Black,Male,22
-723158,01-Jan-20,Warning,Black,Male,30,87F  ,M20-1001,EXC SPEEDING,Black,Male,22
-723154,01-Jan-20,Warning,White,Male,32,87F  ,M20-602,IMP EQUIP/CARS,White,Female,26
-723155,01-Jan-20,Warning,White,Male,32,87F  ,M20-510,IMP REGISTRATION,White,Female,26
-722544,01-Jan-20,Warning,White,Male,35,87F  ,M20-602,IMP EQUIP/CARS,Black,Female,22
-722546,01-Jan-20,Warning,White,Male,35,87F  ,M20-543,NO INSURANCE VERIF,Black,Female,22
-722545,01-Jan-20,Warning,White,Male,35,87F  ,M20-510,IMP REGISTRATION,Black,Female,22
-722547,01-Jan-20,Traffic,White,Male,35,87F  ,M20-1002,SPEEDING,Black,Female,22
-722548,01-Jan-20,Warning,White,Male,35,87F  ,M20-543,NO INSURANCE VERIF,White,Male,49
-722549,01-Jan-20,Traffic,White,Male,35,87F  ,M20-1002,SPEEDING,White,Male,49
-723150,01-Jan-20,Warning,White,Male,32,87F  ,M20-602,IMP EQUIP/CARS,White,Female,36
-723151,01-Jan-20,Warning,White,Male,32,87F  ,M20-543,NO INSURANCE VERIF,White,Female,36
-722550,01-Jan-20,Warning,White,Male,35,87F  ,M20-543,NO INSURANCE VERIF,White,Male,22
-722551,01-Jan-20,Traffic,White,Male,35,87F  ,M20-1002,SPEEDING,White,Male,22
-722782,01-Jan-20,Traffic,White,Female,29,87F  ,M20-1109,DIS TRAF SIG/RED,White,Male,22
-723159,01-Jan-20,Warning,White,Male,31,87F  ,M20-810,FAIL TO STOP,White,Female,40
-723164,01-Jan-20,Warning,White,Male,32,87F  ,M20-602,IMP EQUIP/CARS,Unknown,Female,22
-722553,01-Jan-20,Warning,White,Male,35,87F  ,M20-543,NO INSURANCE VERIF,White,Male,20
-722552,01-Jan-20,Warning,White,Male,35,87F  ,M20-510,IMP REGISTRATION,White,Male,20
-722559,01-Jan-20,Traffic,Black,Male,30,87F  ,M20-1001,EXC SPEEDING,White,Female,20
-723162,01-Jan-20,Warning,Black,Male,30,87F  ,M20-1001,EXC SPEEDING,White,Female,17
-722555,01-Jan-20,Traffic,White,Male,38,87F  ,M20-814,NEGLIGENT PARKING,White,Male,41
-723167,01-Jan-20,Warning,White,Male,57,87F  ,M20-1002,SPEEDING,White,Male,20
-722554,01-Jan-20,Traffic,White,Male,57,87F  ,M20-1002,SPEEDING,White,Female,17
-722632,02-Jan-20,Warning,White,Male,38,87F  ,M20-510,IMP REGISTRATION,White,Female,23
-722633,02-Jan-20,Warning,White,Male,38,87F  ,M20-602,IMP EQUIP/CARS,White,Male,37
-722793,02-Jan-20,Warning,White,Male,51,87F  ,M20-1002,SPEEDING,Black,Female,49
-722687,02-Jan-20,Traffic,White,Male,54,87F  ,M20-1001,EXC SPEEDING,White,Female,35
-722627,02-Jan-20,Traffic,White,Male,49,87F  ,M20-809,FAIL TO YIELD,White,Female,27
-722688,02-Jan-20,Traffic,White,Male,54,87F  ,M20-1002,SPEEDING,White,Male,44
-722689,02-Jan-20,Traffic,White,Male,54,87F  ,M20-1002,SPEEDING,White,Female,22
-722634,02-Jan-20,Warning,White,Male,38,87F  ,M20-602,IMP EQUIP/CARS,White,Male,70
-722636,02-Jan-20,Traffic,White,Male,38,87F  ,M20-543,NO INSURANCE VERIF,White,Male,70
-722635,02-Jan-20,Warning,White,Male,38,87F  ,M20-540,FAIL TO SIGNAL,White,Male,70
-722649,02-Jan-20,Traffic,White,Male,35,87F  ,M20-1002,SPEEDING,White,Male,40
-722690,02-Jan-20,Traffic,White,Male,54,87F  ,M20-1002,SPEEDING,Unknown,Female,27
