IA No,Occurred date,Occurred time,Occurred day of week,Service rendered,Use-of-force: Reason,UOF: Type force used,ID number,Officer was injured,Officer went to hospital,# years employed,Officer age,Race,Sex,Disposition,Officer assement of cit condition,Citizen was arrested,Citizen was injured,Citizen went to hospital,Cit ID number,Ciy Race,Cit Sex
UF2020-001,1/26/2020,5:12:00 AM,Sunday,Contact a Subject,Active Resister Unarmed,Leg Restraint,41,Yes,Yes,2,32,White,Male,Exceptional,Highly Agitated/Upset,Yes,Yes,Yes,3564,Black,Male
UF2020-001,1/26/2020,5:12:00 AM,Sunday,Contact a Subject,Active Resister Unarmed,Tackle,41,Yes,Yes,2,32,White,Male,Exceptional,Highly Agitated/Upset,Yes,Yes,Yes,3564,Black,Male
UF2020-001,1/26/2020,5:12:00 AM,Sunday,Contact a Subject,Active Resister Unarmed,Taser Use,41,Yes,Yes,2,32,White,Male,Exceptional,Highly Agitated/Upset,Yes,Yes,Yes,3564,Black,Male
UF2020-002,2/9/2020,2:25:00 AM,Sunday,Fight Call,Destructive Self/Others,Taser Use,34,No,No,1,31,White,Male,No Misconduct,Impairment - Alcohol,Yes,Yes,Yes,3571,Black,Male
UF2020-002,2/9/2020,2:25:00 AM,Sunday,Fight Call,Destructive Self/Others,Taser Use,34,No,No,1,31,White,Male,No Misconduct,Impairment - Alcohol,Yes,Yes,Yes,3572,Black,Male
UF2020-002,2/9/2020,2:25:00 AM,Sunday,Fight Call,Destructive Self/Others,OC Use,34,No,No,1,31,White,Male,No Misconduct,Impairment - Alcohol,Yes,Yes,Yes,3571,Black,Male
UF2020-002,2/9/2020,2:25:00 AM,Sunday,Fight Call,Destructive Self/Others,OC Use,34,No,No,1,31,White,Male,No Misconduct,Impairment - Alcohol,Yes,Yes,Yes,3572,Black,Male
UF2020-003,2/6/2020,11:30:00 PM,Thursday,Arrest,Passive Non Compliant,Verbal Commands,15,No,No,3,29,White,Male,No Misconduct,Impairment - Alcohol,Yes,No,Yes,3569,White,Male
UF2020-003,2/6/2020,11:30:00 PM,Thursday,Arrest,Passive Non Compliant,Compliance Hold,15,No,No,3,29,White,Male,No Misconduct,Impairment - Alcohol,Yes,No,Yes,3569,White,Male
UF2020-003,2/6/2020,11:30:00 PM,Thursday,Arrest,Passive Non Compliant,Verbal Commands,31,No,No,3,33,Vietnamese,Male,No Misconduct,Impairment - Alcohol,Yes,No,Yes,3569,White,Male
UF2020-003,2/6/2020,11:30:00 PM,Thursday,Arrest,Passive Non Compliant,Compliance Hold,31,No,No,3,33,Vietnamese,Male,No Misconduct,Impairment - Alcohol,Yes,No,Yes,3569,White,Male
UF2020-004,2/6/2020,2:00:00 PM,Thursday,Suspicious Person,Passive Non Compliant,Tackle,121,No,No,1,31,Black,Male,No Misconduct,Impairment - Drug,Yes,Yes,Yes,3570,White,Male
UF2020-005,2/4/2020,9:36:00 PM,Tuesday,Suspicious Person,Active Resister Unarmed,Leg Sweep Takedown,42,No,No,1,25,White,Male,Exceptional,Highly Agitated/Upset,Yes,No,Yes,3568,White,Male
UF2020-005,2/4/2020,9:36:00 PM,Tuesday,Suspicious Person,Active Resister Unarmed,Verbal Commands,42,No,No,1,25,White,Male,Exceptional,Highly Agitated/Upset,Yes,No,Yes,3568,White,Male
UF2020-005,2/4/2020,9:36:00 PM,Tuesday,Suspicious Person,Active Resister Unarmed,Vascular Restraint,42,No,No,1,25,White,Male,Exceptional,Highly Agitated/Upset,Yes,No,Yes,3568,White,Male
UF2020-005,2/4/2020,9:36:00 PM,Tuesday,Suspicious Person,Active Resister Unarmed,Taser Pointing,42,No,No,1,25,White,Male,Exceptional,Highly Agitated/Upset,Yes,No,Yes,3568,White,Male
UF2020-006,1/21/2020,1:00:00 PM,Tuesday,Arrest,Passive Non Compliant,Restraint Device,11,No,No,4,28,Asian,Male,Exceptional,Impairment - Alcohol,Yes,Yes,Yes,3562,White,Male
UF2020-007,1/8/2020,3:55:00 AM,Wednesday,Arrest,Active Resister Unarmed,Firearm Pointing,25,No,No,9,37,White,Male,No Misconduct,Impairment - Drug,Yes,Yes,Yes,2270,White,Male
UF2020-007,1/8/2020,3:55:00 AM,Wednesday,Arrest,Active Resister Unarmed,Verbal Commands,25,No,No,9,37,White,Male,No Misconduct,Impairment - Drug,Yes,Yes,Yes,2270,White,Male
UF2020-007,1/8/2020,3:55:00 AM,Wednesday,Arrest,Active Resister Unarmed,Restraint Device,25,No,No,9,37,White,Male,No Misconduct,Impairment - Drug,Yes,Yes,Yes,2270,White,Male
UF2020-008,2/25/2020,1:04:00 PM,Tuesday,Arrest,Active Resister Unarmed,Restraint Device,27,No,No,8,37,White,Male,No Misconduct,Impairment - Drug,Yes,Yes,Yes,3396,White,Male
UF2020-008,2/25/2020,1:04:00 PM,Tuesday,Arrest,Active Resister Unarmed,Leg Restraint,27,No,No,8,37,White,Male,No Misconduct,Impairment - Drug,Yes,Yes,Yes,3396,White,Male
UF2020-008,2/25/2020,1:04:00 PM,Tuesday,Arrest,Active Resister Unarmed,Tackle,27,No,No,8,37,White,Male,No Misconduct,Impairment - Drug,Yes,Yes,Yes,3396,White,Male
UF2020-009,3/8/2020,2:30:00 PM,Sunday,Fight Call,Active Resister Armed,Baton Strike,112,No,No,27,50,White,Male,No Misconduct,None Detected,Yes,Yes,No,3589,White,Male
UF2020-010,2/27/2020,2:09:00 PM,Thursday,Disturbance,Active Resister Armed,Vascular Restraint,48,No,No,10,32,White,Male,Administrative,Impairment - Alcohol and Drugs,Yes,Yes,Yes,3585,White,Male
UF2020-010,2/27/2020,2:09:00 PM,Thursday,Disturbance,Active Resister Armed,Taser Use,48,No,No,10,32,White,Male,Administrative,Impairment - Alcohol and Drugs,Yes,Yes,Yes,3585,White,Male
UF2020-011,2/25/2020,5:13:00 PM,Tuesday,Protective Custody,Active Fleeing,N/A (Complaint Only),11,No,No,4,29,Asian,Male,No Misconduct,Mental Health,Yes,No,Yes,3584,White,Male
UF2020-012,1/30/2020,3:00:00 PM,Thursday,Arrest,Active Resister Unarmed,Arm Bar Takedown,24,No,No,13,39,White,Male,No Misconduct,Impairment - Drug,Yes,Yes,Yes,3565,Black,Female
UF2020-012,1/30/2020,3:00:00 PM,Thursday,Arrest,Active Resister Unarmed,Arm Bar Takedown,94,No,No,4,31,White,Male,No Misconduct,Impairment - Drug,Yes,Yes,Yes,3565,Black,Female
