IA No,Occurred date,Occurred time,Occurred day of week,Service rendered,Use-of-force: Reason,UOF: Type force used,ID number,Officer was injured,Officer went to hospital,# years employed,Officer age,Race,Sex,Disposition,Officer assement of cit condition,Citizen was arrested,Citizen was injured,Citizen went to hospital,Cit ID number,Cit Race,Cit Sex
UF2020-024,4/27/2020,14:20,Monday,Welfare Check,Active Resister Unarmed,Taser Use,0122,No,No,21,45,White,Male,No Misconduct,Mental Health,Yes,Yes,Yes,3616,White,Female
UF2020-023,5/1/2020,16:03,Friday,Arrest,Active Resister Unarmed,Verbal Commands,0128,No,No,0,39,White,male,No Misconduct,Impairment - Alcohol,Yes,Yes,Yes,1476,,Male
UF2020-023,5/1/2020,16:03,Friday,Arrest,Active Resister Unarmed,Arm Bar Takedown,0128,No,No,0,39,White,male,No Misconduct,Impairment - Alcohol - Drugs,Yes,Yes,Yes,1476,,Male
UF2020-023,5/1/2020,16:03,Friday,Arrest,Active Resister Unarmed,Arm Bar Takedown,0036,No,No,10,42,White,Male,No Misconduct,Impairment - Alcohol - Drugs,Yes,Yes,Yes,1476,,Male
UF2020-022,5/16/2020,17:30,Saturday,Disturbance,Active Resister Unarmed,Leg Sweep Takedown,0016,Yes,No,3,28,White,Male,No Misconduct,Impairment - Alcohol - Drugs,Yes,Yes,No,3640,Black,Male
UF2020-022,5/16/2020,17:30,Saturday,Disturbance,Active Resister Unarmed,Verbal Commands,0016,Yes,No,3,28,White,Male,No Misconduct,Impairment - Alcohol,Yes,Yes,No,3640,Black,Male
UF2020-022,5/16/2020,17:30,Saturday,Disturbance,Active Resister Unarmed,Taser Pointing,0016,Yes,No,3,28,White,Male,No Misconduct,Impairment - Alcohol,Yes,Yes,No,3640,Black,Male
UF2020-022,5/16/2020,17:30,Saturday,Disturbance,Active Resister Unarmed,Compliance Hold,0053,Yes,No,2,35,White,Male,No Misconduct,Impairment - Alcohol,Yes,Yes,No,3640,Black,Male
UF2020-022,5/16/2020,17:30,Saturday,Disturbance,Active Resister Unarmed,Compliance Hold,0101,Yes,No,2,29,White,Male,No Misconduct,Impairment - Alcohol,Yes,Yes,No,3640,Black,Male
UF2020-021,5/21/2020,1:10,Thursday,Arrest,Active Resister Unarmed,Compliance Hold,0009,No,No,4,35,White,Male,No Misconduct,Impairment - Drug,Yes,Yes,Yes,3642,White,Male
