,Applications Received,Disqual on PHS,Withdrawn before Stability,No Shows at Physical,Participated in Stablity Rating,Successfully Completed Stability Rating,Participated in Physical Assessment,Succesfully Completed Physical Assessment,Participated in Written Test,Successfully Completed Written Test,Staff Review,Participated in Oral Board,Successfully Completed Oral Board,Participated in Background Investigation,Successfully Completed background Investigation,Participated in Confirmation Board,Successfully Completed Confirmation Board,Participated in Polygraph Examination,Successfully Completed Polygraph,Participated in MMPI Examination,Successfully Completed MMPI Examination,Participated in Pension Physical,Successfully Completed Pension Physical,Final Offers Given,Final Offers Accepted
TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
American Indian or Alaska Native Alone,7,1,1,,5,5,5,3,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,5,1,1,,3,3,3,2,2,2,2,,,,,,,,,,,,,,
Female,2,,,,2,2,2,1,1,1,1,1,,,,,,,,,,,,,
Black or African American Alone,4,,,,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Male,4,,,,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Female,,,,,,,,,,,,,,,,,,,,,,,,,
 Native Hawaiian/Pacific Islander ,2,,,,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,1,,,,1,1,1,,,,,,,,,,,,,,,,,,
Female,1,,,,1,1,1,,,,,,,,,,,,,,,,,,
Hispanic or Latino,13,1,1,,11,11,11,8,8,6,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1
Male,10,,1,,9,9,9,7,7,5,5,1,,,,,,,,,,,,,
Female,3,1,,,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
White Alone,59,2,,4,53,53,53,44,44,40,40,26,15,15,13,13,9,9,8,8,9,8,8,8,8
Male,53,2,,4,47,47,47,40,40,36,36,24,15,15,13,13,9,9,8,8,9,8,8,8,8
Female,6,,,,6,6,6,4,4,4,4,2,0,0,,,,,,,,,,,
Asian,1,,,,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,1,,,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
Female,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More Races,8,1,1,,6,6,6,5,5,5,5,4,2,2,2,2,2,2,1,2,2,1,1,1,1
Male,4,,1,,3,3,3,3,3,3,3,2,1,1,1,1,1,1,,1,1,,,,
Female,4,1,,,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
Unknown,6,,2,,4,4,4,4,4,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0
,100,5,5,4,86,86,86,69,69,59,59,36,21,21,19,19,145,14,12,13,13,12,12,12,12
