,Applications Received,Disqual on PHS,Withdrawn before Stability,No Shows at Physical,Participated in Stablity Rating,Successfully Completed Stability Rating,Participated in Physical Assessment,Succesfully Completed Physical Assessment,Participated in Written Test,Successfully Completed Written Test,Staff Review,Participated in Oral Board,Successfully Completed Oral Board,Participated in Background Investigation,Successfully Completed background Investigation,Participated in Confirmation Board,Successfully Completed Confirmation Board,Participated in Polygraph Examination,Successfully Completed Polygraph,Participated in MMPI Examination,Successfully Completed MMPI Examination,Participated in Pension Physical,Successfully Completed Pension Physical,Final Offers Given,Final Offers Accepted,
TOTAL,35,8,0,0,27,27,27,24,24,20,20,20,16,16,12,12,12,12,11,11,11,11,11,11,11,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
American Indian or Alaska Native Alone,4,3,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Male,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,,,,,,,,,,,,,,,,,,,,,,,,,,
Black or African American Alone,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Male,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,,,,,,,,,,,,,,,,,,,,,,,,,,
 Native Hawaiian/Pacific Islander ,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Male,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic or Latino,2,0,0,0,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,
Male,1,,,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
Female,1,,,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
White Alone,21,2,0,0,19,19,19,17,17,13,13,13,11,11,9,9,9,9,8,8,8,8,8,8,8,
Male,20,2,0,0,18,18,18,16,16,12,12,12,10,10,8,8,8,8,7,7,7,7,7,,7,
Female,1,,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Asian,0,,,,,,,,,,,,,,,,,,,,,,,,,
Male,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More Races,2,0,0,0,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,
Male,2,,,,2,2,2,2,2,2,2,2,1,1,,,,,,,,,,,,
Female,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,2,0,0,0,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
